-50, 2500.00
-49, 2401.00
-48, 2304.00
-47, 2209.00
-46, 2116.00
-45, 2025.00
-44, 1936.00
-43, 1849.00
-42, 1764.00
-41, 1681.00
-40, 1600.00
-39, 1521.00
-38, 1444.00
-37, 1369.00
-36, 1296.00
-35, 1225.00
-34, 1156.00
-33, 1089.00
-32, 1024.00
-31,  961.00
-30,  900.00
-29,  841.00
-28,  784.00
-27,  729.00
-26,  676.00
-25,  625.00
-24,  576.00
-23,  529.00
-22,  484.00
-21,  441.00
-20,  400.00
-19,  361.00
-18,  324.00
-17,  289.00
-16,  256.00
-15,  225.00
-14,  196.00
-13,  169.00
-12,  144.00
-11,  121.00
-10,  100.00
 -9,   81.00
 -8,   64.00
 -7,   49.00
 -6,   36.00
 -5,   25.00
 -4,   16.00
 -3,    9.00
 -2,    4.00
 -1,    1.00
  0,    0.00
  1,    1.00
  2,    4.00
  3,    9.00
  4,   16.00
  5,   25.00
  6,   36.00
  7,   49.00
  8,   64.00
  9,   81.00
 10,  100.00
 11,  121.00
 12,  144.00
 13,  169.00
 14,  196.00
 15,  225.00
 16,  256.00
 17,  289.00
 18,  324.00
 19,  361.00
 20,  400.00
 21,  441.00
 22,  484.00
 23,  529.00
 24,  576.00
 25,  625.00
 26,  676.00
 27,  729.00
 28,  784.00
 29,  841.00
 30,  900.00
 31,  961.00
 32, 1024.00
 33, 1089.00
 34, 1156.00
 35, 1225.00
 36, 1296.00
 37, 1369.00
 38, 1444.00
 39, 1521.00
 40, 1600.00
 41, 1681.00
 42, 1764.00
 43, 1849.00
 44, 1936.00
 45, 2025.00
 46, 2116.00
 47, 2209.00
 48, 2304.00
 49, 2401.00
 50, 2500.00
